l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
8.0,1.0,4.0,1024.0,1.0,32.0,1112.25,2.3040000000000003,1114.554,2.996317952,224.84705436160002
2.0,4.0,8.0,512.0,8.0,16.0,594.0,9.728,603.728,3.297634384,121.43810750720002
16.0,16.0,1.0,1024.0,2.0,16.0,1284.5,65.536,1350.036,2.768330904,259.1146647232
2.0,4.0,2.0,512.0,2.0,16.0,568.5,38.912,607.412,3.30988988,116.347911904
2.0,4.0,2.0,8.0,2.0,128.0,64.5,0.8320000000000001,65.332,4.8978462480000005,16.818276998400002
16.0,16.0,1.0,1024.0,1.0,16.0,1284.25,0.0,1284.25,2.824784664,259.1098277312
4.0,4.0,2.0,8.0,8.0,16.0,82.0,8.32,90.32,5.535371328,20.828297062400004
16.0,64.0,8.0,128.0,8.0,128.0,802.0,2.816,804.816,2.49068868,162.392550944
2.0,32.0,2.0,512.0,8.0,16.0,794.0,43.008,837.008,3.239688864,161.3917510912
1.0,1.0,1.0,1024.0,1.0,32.0,1044.25,0.0,1044.25,3.382891864,211.55631349120003
1.0,1.0,1.0,2.0,2.0,16.0,22.5,0.128,22.628,26.682276,25.845820800000002
16.0,16.0,2.0,128.0,4.0,16.0,393.0,36.864000000000004,429.86400000000003,3.232699496,81.18615959680001
1.0,1.0,8.0,2.0,16.0,128.0,54.0,0.066,54.066,10.163612,18.9308896
4.0,32.0,2.0,512.0,8.0,16.0,810.0,45.056000000000004,855.056,3.102339752,164.4818718016
8.0,1.0,4.0,16.0,1.0,32.0,104.25,2.3040000000000003,106.554,4.963417952,24.820734361600003
1.0,1.0,1.0,4.0,1.0,64.0,24.25,0.0,24.25,8.249081232,11.449264985600001
8.0,8.0,1.0,16.0,4.0,32.0,149.0,0.256,149.256,4.5886082560000006,33.4708866048
